164, MBRREC09, 7/2017, 1435.2, 310.77509552729606, 0, 0, 5
165, MBRREC09, 6/2017, 1501.0, 0.0, 0, 0, 1
166, MBRREC09, 5/2017, 1165.0, 0.0, 0, 0, 1
167, MBRREC09, 4/2017, 1592.6666666666667, 501.4808072100068, 0, 0, 9
168, MBRREC09, 3/2017, 1645.2, 513.9862449521388, 0, 0, 5
169, MBRREC09, 2/2017, 1777.5, 522.75, 0, 0, 2
170, MBRREC09, 1/2017, 1978.0, 2386.6258609174583, 0, 2, 10
171, MBRREC10, 9/2018, 4808.0, 0.0, 0, 0, 1
172, MBRREC10, 8/2018, 5169.0, 0.0, 0, 0, 1
173, MBRREC10, 7/2018, 5088.333333333333, 64.45153217728807, 0, 0, 3
174, MBRREC10, 6/2018, 6515.0, 1780.5, 0, 0, 2
175, MBRREC10, 5/2018, 2.0, 0.0, 0, 0, 1
176, MBRREC10, 4/2018, 3805.0, 0.0, 0, 0, 1
177, MBRREC10, 2/2018, 3595.0, 297.0, 0, 0, 2
178, MBRREC10, 12/2017, 4016.0, 0.0, 0, 0, 1
179, MBRREC10, 10/2017, 3279.0, 0.0, 0, 0, 1
180, MBRREC10, 7/2017, 3518.8, 858.060522340936, 0, 0, 5
181, MBRREC10, 6/2017, 4526.0, 0.0, 0, 0, 1
182, MBRREC10, 5/2017, 4792.0, 0.0, 0, 0, 1
183, MBRREC10, 4/2017, 3860.625, 1638.8311657531262, 0, 0, 8
184, MBRREC10, 3/2017, 3527.0, 547.7122876109318, 0, 0, 6
185, MBRREC10, 2/2017, 849.8888888888889, 2328.247994141136, 0, 1, 10
186, MBRREC10, 1/2017, 1.125, 0.49607837082461076, 0, 2, 10
187, MBRREC11, 9/2018, 1300.0, 0.0, 0, 0, 1
188, MBRREC11, 8/2018, 1276.0, 0.0, 0, 0, 1
189, MBRREC11, 7/2018, 1330.6666666666667, 192.47337478207214, 0, 0, 3
190, MBRREC11, 6/2018, 1456.0, 96.0, 0, 0, 2
191, MBRREC11, 5/2018, 4.0, 0.0, 0, 0, 1
192, MBRREC11, 4/2018, 1366.0, 0.0, 0, 0, 1
193, MBRREC11, 2/2018, 968.0, 19.5, 0, 0, 2
194, MBRREC11, 12/2017, 1003.0, 0.0, 0, 0, 1
195, MBRREC11, 10/2017, 1164.0, 0.0, 0, 0, 1
196, MBRREC11, 7/2017, 978.2, 146.85114912727104, 0, 0, 5
