_id,jobcode,date,mean,std
287,MBRREF01,May-17,484.2,432.6090152
288,MBRREF01,Apr-17,359.1153846,245.3516292
289,MBRREF01,Mar-17,249.4444444,96.64396285
290,MBRREF01,Jan-17,258,0
291,MBRREF01,Mar-17,263,0
292,MBRREF01,Feb-17,643,0
293,MBRREF01,Jan-17,233.8,31.76885267
294,MBRREF01,Jan-16,210,0
295,MBRREF02,Nov-18,743.3636364,52.4952182
296,MBRREF02,Oct-18,738.1071429,108.2818786
297,MBRREF02,Sep-18,782.6666667,174.6375839
298,MBRREF02,Aug-18,1547,0
299,MBRREF02,Sep-18,734.3333333,64.55230437
300,MBRREF02,Aug-18,790.8333333,183.78197
301,MBRREF02,Jul-18,1457,0
302,MBRREF02,Aug-18,810.9047619,200.4501567
303,MBRREF02,Jul-18,989.6956522,534.3570072
304,MBRREF02,Jun-18,3,0
305,MBRREF02,Jul-18,951.75,152.469208
306,MBRREF02,Jun-18,1249.666667,337.972632
307,MBRREF02,Apr-18,1447,0
308,MBRREF02,Jun-18,914.1363636,97.50555451
309,MBRREF02,May-18,997.7142857,217.1675503
310,MBRREF02,Apr-18,1136.117647,285.7596142
311,MBRREF02,Feb-18,1542,0
312,MBRREF02,Apr-18,1170.111111,394.4416588
313,MBRREF02,Mar-18,3553.923077,3020.985474
314,MBRREF02,Feb-18,2326.478261,2216.167721
315,MBRREF02,Dec-17,1670,0
316,MBRREF02,Feb-18,2414.666667,2688.846221
317,MBRREF02,Jan-18,2947.074074,2209.381095
318,MBRREF02,Dec-17,2468.647059,1639.177739
319,MBRREF02,Oct-17,1445,0
320,MBRREF02,Dec-17,3894.636364,2527.759342
321,MBRREF02,Nov-17,3279.916667,3240.755205
322,MBRREF02,Oct-17,858,48
323,MBRREF02,Jul-17,1457,0
324,MBRREF02,Oct-17,2975.2,2983.052621
325,MBRREF02,Sep-17,3222.772727,3301.889271
326,MBRREF02,Aug-17,2473.740741,1427.380444
327,MBRREF02,Jul-17,2178.823529,1290.819121
328,MBRREF02,Jun-17,1326,0
329,MBRREF02,Jul-17,2555.714286,2054.9535
330,MBRREF02,Jun-17,2198.782609,1522.626282
331,MBRREF02,Apr-17,1389,0
332,MBRREF02,Jun-17,1921.2,1646.641327
333,MBRREF02,May-17,2476.666667,1361.286671
334,MBRREF02,Apr-17,2186.454545,2010.613173
335,MBRREF02,Mar-17,1420.222222,1241.53449
336,MBRREF02,Jan-17,975,0
337,MBRREF02,Mar-17,2222.5,1416.75
338,MBRREF02,Jan-17,824,34.5
339,MBRREF02,Jan-16,914,114
340,MBRREF03,Nov-18,689.5454545,70.65899953
341,MBRREF03,Oct-18,712.1071429,68.27453164
342,MBRREF03,Sep-18,747.5714286,166.0070382
343,MBRREF03,Aug-18,1977,0
344,MBRREF03,Sep-18,701.8888889,52.16533545
345,MBRREF03,Aug-18,717.8333333,72.24653971
346,MBRREF03,Jul-18,1887,0
347,MBRREF03,Aug-18,737.2380952,144.3529193
348,MBRREF03,Jul-18,868.3181818,483.1736813
349,MBRREF03,Jun-18,5326,0
350,MBRREF03,Jul-18,885.375,134.4759359
351,MBRREF03,Jun-18,1077,620.2753018
352,MBRREF03,Apr-18,666,0
353,MBRREF03,Jun-18,815.6875,47.70530262
354,MBRREF03,May-18,1606.571429,5464.98201
355,MBRREF03,Apr-18,1100.529412,200.3940279
356,MBRREF03,Feb-18,2184,0
357,MBRREF03,Apr-18,1154.555556,326.5196098
358,MBRREF03,Mar-18,2183.192308,1473.148219
359,MBRREF03,Feb-18,1580.695652,1136.550654
360,MBRREF03,Dec-17,1958,0
361,MBRREF03,Feb-18,1525.333333,1208.833322
362,MBRREF03,Jan-18,1901.111111,1108.873477
363,MBRREF03,Dec-17,1665.352941,1078.840915
364,MBRREF03,Nov-17,1632,0
365,MBRREF03,Dec-17,2292.909091,1408.40821
366,MBRREF03,Nov-17,1812.85,1182.333006
367,MBRREF03,Oct-17,3276,0
368,MBRREF03,Nov-17,2572.5,942.606791
369,MBRREF03,Oct-17,824,70.5
370,MBRREF03,Jul-17,1853,0
371,MBRREF03,Oct-17,1870.8,1712.625773
372,MBRREF03,Sep-17,2174.545455,1643.265247
373,MBRREF03,Aug-17,1378.333333,608.9590846
374,MBRREF03,Jul-17,1594.941176,409.6405611
375,MBRREF03,Jun-17,1756,0
376,MBRREF03,Jul-17,1772.571429,1162.124554
377,MBRREF03,Jun-17,1521.869565,761.5721545
378,MBRREF03,Apr-17,1830,0
379,MBRREF03,Jun-17,1464.8,920.7289829
380,MBRREF03,May-17,1396.3,575.3344006
381,MBRREF03,Apr-17,1443.375,857.6162617
382,MBRREF03,Mar-17,28427.625,163794.7683
383,MBRREF03,Jan-17,2436,0
384,MBRREF03,Mar-17,2876,732
385,MBRREF03,Jan-17,3267.142857,2521.018599
386,MBRREF03,Jan-16,2828,0
387,MBRREF04,Nov-18,149,10.83554756
388,MBRREF04,Oct-18,147.5357143,18.08676474
389,MBRREF04,Sep-18,155.952381,24.12679093
390,MBRREF04,Aug-18,471,0
391,MBRREF04,Sep-18,180.5555556,56.98732803
392,MBRREF04,Aug-18,202,86.85764215
393,MBRREF04,Jul-18,353,0
394,MBRREF04,Aug-18,242.8571429,74.72705436
395,MBRREF04,Jul-18,231.3181818,117.140114
396,MBRREF04,Jun-18,879,0
397,MBRREF04,Jul-18,240.625,72.3854429
398,MBRREF04,Jun-18,326.6666667,220.4858272
399,MBRREF04,Apr-18,365,0
400,MBRREF04,Jun-18,238.3478261,45.65310558
401,MBRREF04,May-18,234.9259259,82.22117116
402,MBRREF04,Apr-18,263.9411765,100.6289391
403,MBRREF04,Feb-18,339,0
404,MBRREF04,Apr-18,259.1111111,55.30119549
405,MBRREF04,Mar-18,311.9230769,170.2935423
406,MBRREF04,Feb-18,335.826087,463.3100396
407,MBRREF04,Dec-17,270,0
408,MBRREF04,Feb-18,234.25,46.4924389
409,MBRREF04,Jan-18,260.4615385,88.77262192
410,MBRREF04,Dec-17,311.0588235,321.0232828
411,MBRREF04,Nov-17,311,0
412,MBRREF04,Dec-17,257,91.53017386
413,MBRREF04,Nov-17,233.45,76.1040858
414,MBRREF04,Oct-17,286,0
415,MBRREF04,Nov-17,238.75,23.74967105
416,MBRREF04,Oct-17,203.5,32.25
417,MBRREF04,Jul-17,270,0
418,MBRREF04,Oct-17,248.6,113.140974
419,MBRREF04,Sep-17,290.952381,141.790698
420,MBRREF04,Aug-17,273.3703704,105.0374125
421,MBRREF04,Jul-17,285.1764706,137.4572787
422,MBRREF04,Jun-17,312,0
423,MBRREF04,Jul-17,267.6428571,139.9745467
424,MBRREF04,Jun-17,235.2173913,86.0843379
425,MBRREF04,Apr-17,276,0
426,MBRREF04,Jun-17,211.4,16.33829857
427,MBRREF04,May-17,250.2,114.9032637
428,MBRREF04,Apr-17,246.7142857,176.5898049
429,MBRREF04,Mar-17,306.5555556,162.2361105
430,MBRREF04,Jan-17,185,0
431,MBRREF04,Mar-17,354,136.5
432,MBRREF04,Jan-17,263.5,73.22781234
433,MBRREF04,Jan-16,229,0
434,MBRREF05,Nov-18,335.3636364,28.84791984
435,MBRREF05,Oct-18,349,55.52894998
436,MBRREF05,Sep-18,404.1428571,87.3776112
437,MBRREF05,Aug-18,2060,0
438,MBRREF05,Sep-18,359.7777778,75.45123517
439,MBRREF05,Aug-18,510.4545455,504.4261038
440,MBRREF05,Jul-18,1716,0
441,MBRREF05,Aug-18,428.4117647,200.6474468
442,MBRREF05,Jul-18,548.3181818,563.1113744
443,MBRREF05,Jun-18,2070,0
444,MBRREF05,Jul-18,501.875,164.2969753
445,MBRREF05,Jun-18,581.6666667,270.6113449
446,MBRREF05,Apr-18,2511,0
447,MBRREF05,Jun-18,473.0869565,270.2780862
448,MBRREF05,May-18,477.9259259,125.132547
449,MBRREF05,Apr-18,510.4705882,139.816167
450,MBRREF05,Feb-18,1029,0
451,MBRREF05,Apr-18,536.3333333,98.55709005
452,MBRREF05,Mar-18,1154.076923,1569.136554
453,MBRREF05,Feb-18,1109.826087,1704.681469
454,MBRREF05,Dec-17,717,0
455,MBRREF05,Feb-18,455,52.80980023
456,MBRREF05,Jan-18,694.3076923,645.9205108
457,MBRREF05,Dec-17,711.7058824,1011.806202
458,MBRREF05,Nov-17,811,0
459,MBRREF05,Dec-17,979.2727273,1032.685969
460,MBRREF05,Nov-17,683.75,895.3704523
461,MBRREF05,Oct-17,212,0
462,MBRREF05,Nov-17,466,204.5864732
463,MBRREF05,Oct-17,820,672
464,MBRREF05,Jul-17,1220,0
465,MBRREF05,Oct-17,1104.6,1631.369327
466,MBRREF05,Sep-17,1579,1439.427044
467,MBRREF05,Aug-17,1270.222222,777.8965584
468,MBRREF05,Jul-17,1071.117647,700.352683
469,MBRREF05,Jun-17,549,0
470,MBRREF05,Jul-17,1089.642857,898.0623082
471,MBRREF05,Jun-17,1197.086957,472.2677303
472,MBRREF05,Apr-17,454,0
473,MBRREF05,Jun-17,996.4,818.5562534
474,MBRREF05,May-17,767.9,521.9004718
475,MBRREF05,Apr-17,824.4166667,948.1745208
476,MBRREF05,Mar-17,686.2,855.2191298
477,MBRREF05,Jan-17,781,0
478,MBRREF05,Mar-17,284,0
479,MBRREF05,Jan-17,1372.5,2883.717425
480,MBRREF05,Jan-16,4506,0
481,MBRREF06,Nov-18,804.8181818,44.56066531
482,MBRREF06,Oct-18,822.8571429,120.3962527
483,MBRREF06,Sep-18,822.5238095,72.7809125
484,MBRREF06,Aug-18,1419,0
485,MBRREF06,Sep-18,808.1111111,63.91965443
486,MBRREF06,Aug-18,840.6666667,68.60029154
487,MBRREF06,Jul-18,1450,0
488,MBRREF06,Aug-18,867.1904762,100.7567286
489,MBRREF06,Jul-18,939.2727273,288.0817291
490,MBRREF06,Jun-18,2353,0
491,MBRREF06,Jul-18,1074,196.1848618
492,MBRREF06,Jun-18,1216.666667,251.0975906
493,MBRREF06,Apr-18,1493,0
494,MBRREF06,Jun-18,958.9130435,112.0542587
495,MBRREF06,May-18,916.8888889,134.2729393
496,MBRREF06,Apr-18,1061.117647,129.2786481
