213, MBRREC10, 5/2017, 4526.0, 0.0
214, MBRREC10, 4/2017, 4058.75, 1649.6250852466449
215, MBRREC10, 3/2017, 3596.5, 510.0325357268887
216, MBRREC10, 2/2017, 3660.0, 0.0
217, MBRREC10, 3/2017, 3422.0, 0.0
218, MBRREC10, 2/2017, 920.875, 2353.2763322852143
219, MBRREC10, 1/2016, 1591.5, 2385.75
220, MBRREC10, 1/2017, 1.0, 0.0
221, MBRREC10, 1/2016, 1.0, 0.0
222, MBRREC10, 1/2017, 1.3333333333333333, 0.7071067811865475
223, MBRREC10, 1/2016, 1.0, 0.0
224, MBRREC11, 8/2018, 1300.0, 0.0
225, MBRREC11, 7/2018, 1344.6666666666667, 178.43205989955953
226, MBRREC11, 6/2018, 1377.0, 214.5
227, MBRREC11, 5/2018, 1392.0, 0.0
228, MBRREC11, 4/2018, 4.0, 0.0
229, MBRREC11, 2/2018, 1173.5, 288.75
230, MBRREC11, 12/2017, 955.0, 0.0
231, MBRREC11, 10/2017, 1003.0, 0.0
232, MBRREC11, 7/2017, 1027.8, 172.6952807693366
233, MBRREC11, 6/2017, 916.0, 0.0
234, MBRREC11, 5/2017, 1031.0, 0.0
235, MBRREC11, 4/2017, 1071.2222222222222, 426.30492477672465
236, MBRREC11, 3/2017, 1125.2, 384.07780461776235
237, MBRREC11, 2/2017, 852.0, 0.0
238, MBRREC11, 1/2016, 867.0, 36.0
239, MBRREC11, 1/2017, 202.33333333333334, 3.9370039370059056
240, MBRREC11, 1/2016, 195.0, 0.0
241, MBRREC11, 1/2017, 181.0, 0.0
242, MBRREC11, 1/2016, NaN, NaN
243, MBRREC12, 7/2018, 162.0, 0.0
244, MBRREC12, 6/2018, 85.5, 117.75
245, MBRREC12, 5/2018, 394.0, 0.0
246, MBRREC12, 4/2018, 3.0, 0.0
247, MBRREC12, 1/2018, 79.0, 0.0
248, MBRREC12, 3/2018, 81.33333333333333, 164.04877323527904
249, MBRREF01, 11/2018, 173.1818181818182, 28.177492336617988
250, MBRREF01, 10/2018, 174.39285714285714, 47.31770537913835
251, MBRREF01, 9/2018, 197.28571428571428, 74.8915542498564
252, MBRREF01, 8/2018, 389.0, 0.0
253, MBRREF01, 9/2018, 168.33333333333334, 18.681541692269406
254, MBRREF01, 8/2018, 208.83333333333334, 99.22858711077167
255, MBRREF01, 7/2018, 452.0, 0.0
256, MBRREF01, 8/2018, 211.47619047619048, 113.44094031158023
257, MBRREF01, 7/2018, 255.7826086956522, 129.90001244231726
258, MBRREF01, 6/2018, 3.0, 0.0
259, MBRREF01, 7/2018, 219.875, 46.272249715677326
260, MBRREF01, 6/2018, 293.0, 67.98161516174797
261, MBRREF01, 4/2018, 489.0, 0.0
262, MBRREF01, 6/2018, 215.8181818181818, 52.76550338154122
263, MBRREF01, 5/2018, 255.5, 124.37310659003876
264, MBRREF01, 4/2018, 304.05882352941177, 141.07832985866165
265, MBRREF01, 2/2018, 385.0, 0.0
266, MBRREF01, 4/2018, 263.22222222222223, 87.22894524691267
267, MBRREF01, 3/2018, 733.5384615384615, 541.5204924903418
268, MBRREF01, 2/2018, 560.7391304347826, 451.00023996238053
269, MBRREF01, 12/2017, 335.0, 0.0
270, MBRREF01, 2/2018, 507.3333333333333, 478.0998849612913
271, MBRREF01, 1/2018, 630.2222222222222, 442.6797814322322
272, MBRREF01, 12/2017, 549.3529411764706, 418.96351345378076
273, MBRREF01, 10/2017, 251.0, 0.0
274, MBRREF01, 12/2017, 698.9090909090909, 314.5636292699843
275, MBRREF01, 11/2017, 631.125, 410.78856616725596
276, MBRREF01, 10/2017, 233.0, 57.0
277, MBRREF01, 7/2017, 345.0, 0.0
278, MBRREF01, 10/2017, 664.44, 1074.4622256738485
279, MBRREF01, 9/2017, 795.0909090909091, 1194.2415164391064
280, MBRREF01, 8/2017, 423.22222222222223, 210.6246002304152
281, MBRREF01, 7/2017, 583.1176470588235, 1122.23517695158
282, MBRREF01, 6/2017, 251.0, 0.0
283, MBRREF01, 7/2017, 457.2857142857143, 374.3623558390824
284, MBRREF01, 6/2017, 382.5652173913044, 208.69805705136127
285, MBRREF01, 4/2017, 227.0, 0.0
286, MBRREF01, 6/2017, 399.8, 272.47928361620444
287, MBRREF01, 5/2017, 484.2, 432.60901516265244
288, MBRREF01, 4/2017, 359.11538461538464, 245.35162923334263
289, MBRREF01, 3/2017, 249.44444444444446, 96.64396285105218
290, MBRREF01, 1/2017, 258.0, 0.0
291, MBRREF01, 3/2017, 263.0, 0.0
292, MBRREF01, 2/2017, 643.0, 0.0
293, MBRREF01, 1/2017, 233.8, 31.76885267050102
294, MBRREF01, 1/2016, 210.0, 0.0
295, MBRREF02, 11/2018, 743.3636363636364, 52.49521820017799
296, MBRREF02, 10/2018, 738.1071428571429, 108.28187864249003
297, MBRREF02, 9/2018, 782.6666666666666, 174.6375839110405
298, MBRREF02, 8/2018, 1547.0, 0.0
299, MBRREF02, 9/2018, 734.3333333333334, 64.55230437405004
300, MBRREF02, 8/2018, 790.8333333333334, 183.78197000794174
301, MBRREF02, 7/2018, 1457.0, 0.0
302, MBRREF02, 8/2018, 810.9047619047619, 200.45015666275356
303, MBRREF02, 7/2018, 989.695652173913, 534.3570072087753
304, MBRREF02, 6/2018, 3.0, 0.0
305, MBRREF02, 7/2018, 951.75, 152.4692079568855
306, MBRREF02, 6/2018, 1249.6666666666667, 337.97263202809785
307, MBRREF02, 4/2018, 1447.0, 0.0
308, MBRREF02, 6/2018, 914.1363636363636, 97.5055545143815
309, MBRREF02, 5/2018, 997.7142857142857, 217.16755028769649
310, MBRREF02, 4/2018, 1136.1176470588234, 285.75961417496626
311, MBRREF02, 2/2018, 1542.0, 0.0
312, MBRREF02, 4/2018, 1170.111111111111, 394.4416588321044
313, MBRREF02, 3/2018, 3553.923076923077, 3020.9854744249246
314, MBRREF02, 2/2018, 2326.478260869565, 2216.1677205898695
315, MBRREF02, 12/2017, 1670.0, 0.0
316, MBRREF02, 2/2018, 2414.6666666666665, 2688.8462209654163
317, MBRREF02, 1/2018, 2947.074074074074, 2209.3810945574
318, MBRREF02, 12/2017, 2468.6470588235293, 1639.1777392643098
319, MBRREF02, 10/2017, 1445.0, 0.0
320, MBRREF02, 12/2017, 3894.6363636363635, 2527.7593424589354
321, MBRREF02, 11/2017, 3279.9166666666665, 3240.7552047130926
322, MBRREF02, 10/2017, 858.0, 48.0
323, MBRREF02, 7/2017, 1457.0, 0.0
324, MBRREF02, 10/2017, 2975.2, 2983.052621057832
325, MBRREF02, 9/2017, 3222.7727272727275, 3301.889271126606
326, MBRREF02, 8/2017, 2473.740740740741, 1427.380444064849
